incident_id,category,priority,technician,location,created_date,resolved_date,resolution_time_hours,steps_taken,customer_satisfaction,description
INC00001,Network,Low,Tech_009,London,2025-09-27 14:22:13,2025-09-30 03:29:14,61.12,User Notification | Network Diagnostics | Testing,Very Satisfied,Network incident in London handled by Tech_009
INC00002,Network,Low,Tech_007,London,2025-09-09 14:22:13,2025-09-15 14:44:01,144.36,Hardware Inspection | User Notification | Testing | Network Diagnostics | Closure | Root Cause Analysis | Configuration Check,Very Satisfied,Network incident in London handled by Tech_007
INC00003,Application,Critical,Tech_011,Tokyo,2025-10-02 14:22:13,2025-10-02 16:26:49,2.08,Code Review | Closure | Testing | Documentation | Database Check,Neutral,Application incident in Tokyo handled by Tech_011
INC00004,User Support,High,Tech_002,Mumbai,2025-09-07 14:22:13,2025-09-07 20:52:01,6.5,User Interview | Satisfaction Survey | Implementation | Follow-up | User Training | Documentation,Neutral,User Support incident in Mumbai handled by Tech_002
INC00005,User Support,Medium,Tech_003,New York,2025-08-30 14:22:13,2025-08-31 16:02:39,25.67,User Interview | Solution Research | Closure | Satisfaction Survey | Problem Diagnosis,Dissatisfied,User Support incident in New York handled by Tech_003
INC00006,Hardware,Medium,Tech_012,Tokyo,2025-09-28 14:22:13,2025-09-30 18:34:51,52.21,Hardware Diagnostics | Component Testing | System Testing | Performance Verification | Closure | Documentation | Part Replacement | User Training,Neutral,Hardware incident in Tokyo handled by Tech_012
INC00007,User Support,Medium,Tech_011,New York,2025-09-27 14:22:13,2025-09-30 03:40:43,61.31,Follow-up | Implementation | User Interview | Documentation | Satisfaction Survey,Neutral,User Support incident in New York handled by Tech_011
INC00008,Application,Critical,Tech_013,Mumbai,2025-10-02 14:22:13,2025-10-02 16:41:41,2.32,User Acceptance | Closure | Bug Identification | Testing,Dissatisfied,Application incident in Mumbai handled by Tech_013
INC00009,Hardware,Medium,Tech_005,Sydney,2025-09-10 14:22:13,2025-09-11 07:49:30,17.45,Hardware Diagnostics | Component Testing | Performance Verification,Satisfied,Hardware incident in Sydney handled by Tech_005
INC00010,Security,Low,Tech_013,Mumbai,2025-09-03 14:22:13,2025-09-12 13:40:20,215.3,Patch Implementation | User Notification | Initial Assessment | Security Testing | Compliance Check | Documentation | Threat Analysis,Neutral,Security incident in Mumbai handled by Tech_013
INC00011,Network,High,Tech_014,London,2025-09-12 14:22:13,2025-09-12 18:26:07,4.06,Root Cause Analysis | User Notification | Configuration Check | Closure | Initial Assessment | Documentation | Network Diagnostics | Solution Implementation,Neutral,Network incident in London handled by Tech_014
INC00012,Application,Low,Tech_020,Tokyo,2025-09-10 14:22:13,2025-09-12 05:52:34,39.51,Bug Identification | Log Analysis | Initial Assessment | Documentation | Closure,Very Satisfied,Application incident in Tokyo handled by Tech_020
INC00013,Network,Critical,Tech_003,Sydney,2025-08-23 14:22:13,2025-08-23 15:59:57,1.63,Documentation | User Notification | Configuration Check | Closure | Root Cause Analysis | Solution Implementation | Hardware Inspection | Initial Assessment,Satisfied,Network incident in Sydney handled by Tech_003
INC00014,Hardware,Critical,Tech_012,Mumbai,2025-08-15 14:22:13,2025-08-15 17:57:30,3.59,Part Replacement | Closure | Initial Assessment,Neutral,Hardware incident in Mumbai handled by Tech_012
INC00015,Network,Medium,Tech_019,London,2025-10-11 14:22:13,2025-10-12 06:37:48,16.26,Initial Assessment | Hardware Inspection | Network Diagnostics | Closure | Configuration Check | Testing | Documentation | User Notification,Dissatisfied,Network incident in London handled by Tech_019
INC00016,Application,Medium,Tech_019,Sydney,2025-09-11 14:22:13,2025-09-12 16:57:01,26.58,Testing | Log Analysis | Code Review | User Acceptance | Fix Implementation | Documentation,Neutral,Application incident in Sydney handled by Tech_019
INC00017,Security,Critical,Tech_015,New York,2025-08-29 14:22:13,2025-08-29 18:38:16,4.27,Security Scan | Initial Assessment | Compliance Check | Security Testing | Threat Analysis | User Notification | Closure | Patch Implementation,Satisfied,Security incident in New York handled by Tech_015
INC00018,User Support,Critical,Tech_005,Mumbai,2025-09-30 14:22:13,2025-09-30 16:45:47,2.39,User Interview | Documentation | Closure | Initial Assessment,Very Satisfied,User Support incident in Mumbai handled by Tech_005
INC00019,Network,Medium,Tech_006,Mumbai,2025-09-10 14:22:13,2025-09-12 07:15:07,40.88,Initial Assessment | Configuration Check | Testing | Closure | Hardware Inspection | User Notification,Dissatisfied,Network incident in Mumbai handled by Tech_006
INC00020,Hardware,Critical,Tech_018,Mumbai,2025-10-02 14:22:13,2025-10-02 16:19:11,1.95,Initial Assessment | Closure | Performance Verification | Component Testing,Very Satisfied,Hardware incident in Mumbai handled by Tech_018
INC00021,Network,Critical,Tech_017,Sydney,2025-10-01 14:22:13,2025-10-01 15:39:17,1.28,Network Diagnostics | Configuration Check | Closure | Root Cause Analysis | Initial Assessment | Documentation | Hardware Inspection,Very Satisfied,Network incident in Sydney handled by Tech_017
INC00022,User Support,Medium,Tech_019,Sydney,2025-10-09 14:22:13,2025-10-11 15:32:00,49.16,Closure | Satisfaction Survey | User Training | Problem Diagnosis | User Interview | Follow-up,Satisfied,User Support incident in Sydney handled by Tech_019
INC00023,Hardware,Critical,Tech_005,Tokyo,2025-09-12 14:22:13,2025-09-12 16:57:05,2.58,Initial Assessment | User Training | System Testing,Very Satisfied,Hardware incident in Tokyo handled by Tech_005
INC00024,Network,Medium,Tech_017,Tokyo,2025-10-03 14:22:13,2025-10-06 10:21:57,68.0,Hardware Inspection | Solution Implementation | Root Cause Analysis,Satisfied,Network incident in Tokyo handled by Tech_017
INC00025,Security,High,Tech_020,Sydney,2025-10-11 14:22:13,2025-10-12 07:43:39,17.36,Patch Implementation | Security Scan | Threat Analysis | Documentation | Initial Assessment | Security Testing | User Notification,Neutral,Security incident in Sydney handled by Tech_020
INC00026,Hardware,Medium,Tech_011,London,2025-08-29 14:22:13,2025-08-31 16:25:29,50.05,Closure | User Training | Component Testing | Initial Assessment | Performance Verification,Dissatisfied,Hardware incident in London handled by Tech_011
INC00027,Hardware,Low,Tech_001,Tokyo,2025-08-23 14:22:13,2025-08-26 01:55:04,59.55,Component Testing | User Training | System Testing | Performance Verification | Part Replacement,Very Satisfied,Hardware incident in Tokyo handled by Tech_001
INC00028,Network,Low,Tech_005,Sydney,2025-10-09 14:22:13,2025-10-17 08:35:51,186.23,User Notification | Configuration Check | Testing | Network Diagnostics | Initial Assessment | Closure | Root Cause Analysis,Very Satisfied,Network incident in Sydney handled by Tech_005
